Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
Elections to the Chamber of Deputies,,SUD,2006,Vital Juneau,Tet Ansanm,62,1.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,PORT-A-PIMENT,SUD,2006,Julner LAINE,OPL,"1,288",35.8,"1,970",54.2,,
Elections to the Chamber of Deputies,,SUD,2006,Joseph Saurel Descombe,Union,"1,103",30.7,"1,663",45.8,,
Elections to the Chamber of Deputies,,SUD,2006,Germeil Leclerc,Fusion,458,12.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,Milavoix Laurole,PUN,330,9.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,Pierre François Vital,MPH,225,6.3,,,,
Elections to the Chamber of Deputies,,SUD,2006,Mie Violaine Salomon,FRN,17,0.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,PORT-SALUT,SUD,2006,Joseph N P LOUIS,Alyans,"1,765",29.1,"2,765",50.4,,
Elections to the Chamber of Deputies,,SUD,2006,Maxime Saintil,Union,"1,670",27.6,"2,718",49.6,,
Elections to the Chamber of Deputies,,SUD,2006,P  Adolph Alabré,Pont,801,13.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Charles Clerveau,OPL,700,11.6,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Sauveur Romulus,Mochrena,398,6.6,,,,
Elections to the Chamber of Deputies,,SUD,2006,Serge Raphael,MIRN,304,5,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Yves Merise,RDNP,128,2.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Léon Joseph,Tet Ansanm,85,1.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,Joseph Gustave Charles,Fusion,69,1.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,ROCHE A BATEAU,SUD,2006,Pierre Louis Ostin,Union,"1,161",24.4,"2,403",49.7,,
Elections to the Chamber of Deputies,,SUD,2006,P Richard OLIVARD,Lavalas,"1,001",21,"2,431",50.3,,
Elections to the Chamber of Deputies,,SUD,2006,Jacques Felix,OPL,612,12.9,,,,
Elections to the Chamber of Deputies,,SUD,2006,D'homme Onald Branche,JPD,549,11.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,J Bonoeil Latry,MPH,501,10.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,Guy Hyppolitte,Pont,347,7.3,,,,
Elections to the Chamber of Deputies,,SUD,2006,P Wakens Bain,RDNP,226,4.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,SAINT JEAN DU SUD - ARNIQUET,SUD,2006,Jn Roland BOISROND,Lavalas,"2,020",24.5,"3,976",60.9,,
Elections to the Chamber of Deputies,,SUD,2006,Astremond Joseph,Union,"1,280",15.5,"2,547",39.1,,
Elections to the Chamber of Deputies,,SUD,2006,Bernard Laguerre,Alyans,"1,043",12.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Daniel Joseph,OPL,"1,029",12.5,,,,
Elections to the Chamber of Deputies,,SUD,2006,Joseph Noel Dutreil,Fusion,762,9.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,William Jocelyn,Pont,627,7.6,,,,
Elections to the Chamber of Deputies,,SUD,2006,Joseph Thomas Dupont,Tet Ansanm,504,6.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,JnLucien Zamor,PLH,237,2.9,,,,
Elections to the Chamber of Deputies,,SUD,2006,H Jn Arthur Legrand,Mochrenha,178,2.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,Homere Narcisse,MPH,152,1.8,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,SAINT LOUIS DU SUD - CAVAILLON,SUD,2006,Felix Jean MERVIUS,Fusion,"4,647",22.5,"7,864",67.5,,
Elections to the Chamber of Deputies,,SUD,2006,Sonet Castor,Union,"2,845",13.8,"3,794",32.5,,
Elections to the Chamber of Deputies,,SUD,2006,Elibert Max,OPL,"1,949",9.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,Henriclaire Jr Joacin,Lavalas,"1,676",8.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Odince Vital,RDNP,"1,636",7.9,,,,
Elections to the Chamber of Deputies,,SUD,2006,Fougère Joseph,GFCD,"1,200",5.8,,,,
Elections to the Chamber of Deputies,,SUD,2006,Michel Soy,Alyans,869,4.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,Rigal Macius,Tet Ansanm,862,4.2,,,,
Elections to the Chamber of Deputies,,SUD,2006,I Maxime Simone,Pacapalah,846,4.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Sintima Villaire,Mochrena,611,3,,,,
Elections to the Chamber of Deputies,,SUD,2006,Chavannes Augustin,MNP,428,2.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,P Jonel Cadet,MRN,327,1.6,,,,
Elections to the Chamber of Deputies,,SUD,2006,Rilan Isac,PNDPH,325,1.6,,,,
Elections to the Chamber of Deputies,,SUD,2006,Ais Wilfred,MPH,325,1.6,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn François Martin,Adrena,259,1.3,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,TIBURON,SUD,2006,Aristhene DENIZE,Alyans,"1,998",38,"2,875",57.9,,
Elections to the Chamber of Deputies,,SUD,2006,Louinor Saintima,OPL,"1,397",26.5,"2,094",42.1,,
Elections to the Chamber of Deputies,,SUD,2006,Eddy Felissaint Renaud,Union,509,9.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,Raymond Jn Carol,Fusion,464,8.8,,,,
Elections to the Chamber of Deputies,,SUD,2006,J Philippe Bélizaire,MPH,268,5.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Adrien Eltimé,Lavalas,189,3.6,,,,
Elections to the Chamber of Deputies,,SUD,2006,Nicson Bernard,Tet Ansanm,20,0.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,TORBECK - CHANTAL,SUD,2006,Guy Gerard GEORGES,Union,"5,702",34.6,"6,212",59.6,,
Elections to the Chamber of Deputies,,SUD,2006,Pierre Franky Exius,Lavalas,"2,238",13.6,"4,203",40.4,,
Elections to the Chamber of Deputies,,SUD,2006,R Antony Italis,Lespwa,"1,702",10.3,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Max Charles,OPL,"1,341",8.1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jean Pierrot Firmin,MPH,"1,302",7.9,,,,
Elections to the Chamber of Deputies,,SUD,2006,F Chaudel Chevallier,Fusion,616,3.7,,,,
Elections to the Chamber of Deputies,,SUD,2006,"Louis, Genel Dorival",Alyans,559,3.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,Joas Cadet,RDNP,558,3.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,P Wilfrid Jocelyn,FRN,459,2.8,,,,
Elections to the Chamber of Deputies,,SUD,2006,Jn Jostin Charles,MRN,403,2.4,,,,
Elections to the Chamber of Deputies,,SUD,2006,Kelo Ville Franche,Mochrena,382,2.3,,,,
Elections to the Chamber of Deputies,,SUD,2006,Pierre-Louis Dommercant,,170,1,,,,
Elections to the Chamber of Deputies,,SUD,2006,P Renaud Acao,MIRN,166,1,,,,
Elections to the Chamber of Deputies,,SUD,2006,Pierre Jeanove Maitre,JPD,162,1,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,,SUD,2006,,,,,,,,
Elections to the Chamber of Deputies,ANSE-A-PITRE,SUD EST,2006,Patrick ROBASSON,Lespwa,"2,656",41.4,"3,501",62.6,,
Elections to the Chamber of Deputies,,SUD EST,2006,Pierre Ronald Villemeney,Mochrenah,946,14.8,"2,091",37.4,,
Elections to the Chamber of Deputies,,SUD EST,2006,Felder Louis,Fusion,848,13.2,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Rémy Sanozier,RDNP,690,10.8,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Davidson Gabriel,OPL,553,8.6,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Arthur Jovial Bonicet,Tet Ansanm,316,4.9,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Fritz Descartes,Modereh,70,1.1,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,BAINET,SUD EST,2006,Malherbe FRANCOIS,Lespwa,"4,272",35.6,"5,724",66.1,,
Elections to the Chamber of Deputies,,SUD EST,2006,M Sylvia Fabien Moise,MRN,"3,195",26.6,"2,938",33.9,,
Elections to the Chamber of Deputies,,SUD EST,2006,Pierre Jacques Felix,Adrena,"1,011",8.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Evêque Toussaint,Lavalas,530,4.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Laurent Dieudonne,Tet Ansanm,529,4.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Neland Jean Louis,RDNP,448,3.7,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,C Pierre Adrien,Alyans,299,2.5,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,P Andrenant Micius,Unité,232,1.9,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,L Constant Bourgouin,Fusion,231,1.9,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Mathurin Candé,OPL,212,1.8,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Phenicier Francois,MIRN,171,1.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Claude Bouquet,MPH,163,1.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,BELLE ANSE,SUD EST,2006,Maxeau Baltazar,Fusion,"3,394",35.5,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Rossini Jean Pierre,Alyans,"2,578",27,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Wilbert Joseph,OPL,"1,247",13.1,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Carlos Sanon,MUP,506,5.3,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Franck Philippe,Lavalas,477,5,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Dieucibon Jean,Tet Ansanm,289,3,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,David Mardy,Mochrenah,161,1.7,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Paul Phedre,Modereh,117,1.2,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,COTE-DE-FER,SUD EST,2006,Lesly Guirand,Fusion,"2,292",19.9,"3,624",45.7,,
Elections to the Chamber of Deputies,,SUD EST,2006,Guivard Cadet MONVAL,Konba,"1,917",16.6,"4,310",54.3,,
Elections to the Chamber of Deputies,,SUD EST,2006,Manaus Monacé D Maxilus,MIRN,"1,731",15,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Carnot Pierre,Lespwa,"1,638",14.2,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Claude Delima,OPL,"1,374",11.9,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jefferson-R Pretenvil,Tet Ansanm,"1,336",11.6,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Emmanuel Michel,JPD,478,4.1,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,David Obran,Mochrenah,241,2.1,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Flonor Saint-Hilaire,Union,127,1.1,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Richard Merilus,RDNP,59,0.5,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Vergnaud Vilmeus,MPH,41,0.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,GRAND-GOSIER - THIOTTE,SUD EST,2006,Camille DESMARATTES,RDNP,"3,795",37,"5,586",62.9,,
Elections to the Chamber of Deputies,,SUD EST,2006,Edmond Bernard,OPL,"2,171",21.2,"3,291",37.1,,
Elections to the Chamber of Deputies,,SUD EST,2006,Frantz Willy N Mondesir,Lespwa,"2,065",20.1,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Gisèle Verdieu,Mochrenah,570,5.6,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Nazon Gaetan,MPH,554,5.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Bertrand Abraham,FRN,275,2.7,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Todt Royer,Pacapalah,250,2.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,JACMEL,SUD EST,2006,Patrick DOMOND,Lespwa,"10,100",39.6,"7,604",73.8,,
Elections to the Chamber of Deputies,,SUD EST,2006,Gordon Pradel,PLH,"1,974",7.7,"2,693",26.2,,
Elections to the Chamber of Deputies,,SUD EST,2006,Claudel Jean,OPL,"1,944",7.6,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Alix Alfred,Fusion,"1,479",5.8,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Andre Wilner Laurent,Modereh,"1,191",4.7,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Carmel M J Thebeaud,Lavalas,"1,105",4.3,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Claude Colinet,RDNP,865,3.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jackson Fleurentin,Konba,847,3.3,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Toussaint Adonis,Tet Ansanm,821,3.2,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Junior Charles,JPD,791,3.1,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Lucien Pierre,Mochrenah,668,2.6,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Bob Simonis,Union,618,2.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Philippe Moab,Adebah,574,2.3,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Marie Thurin,Alyans,468,1.8,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Alcina Robien,GFCD,400,1.6,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Clermont Compere,MPH,327,1.3,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,LA VALLE,SUD EST,2006,Jean Edzer VALENTIN,Lespwa,"3,618",36.3,"3,142",50.8,,
Elections to the Chamber of Deputies,,SUD EST,2006,Ruffine Labbe,OPL,"2,121",21.3,"3,037",49.2,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Frantzy Clermont,Fusion,"1,295",13,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Frantzceau Aridou,RDNP,"1,093",11,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Michel Zephir,PSR,552,5.5,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Maxony Boussicaut,Tet Ansanm,237,2.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Francois Nicolas,Alyans,224,2.3,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jaurel Carice,MPH,196,2,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Roosvelt Desrosiers,GFCD,143,1.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,MARIGOT - CAYES JACMEL,SUD EST,2006,Jean Delouis FELIX,Lespwa,"3,939",21.9,"5,474",50.3,,
Elections to the Chamber of Deputies,,SUD EST,2006,Em Rigaud Rousseau,OPL,"2,303",12.8,"5,419",49.7,,
Elections to the Chamber of Deputies,,SUD EST,2006,Eddy Jarbath,MRN,"1,598",8.9,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Terril Saint Louis,Mochrenah,"1,430",8,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Pascal Sainvoyis,RDNP,"1,423",7.9,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,A Comper Joseph,Union,869,4.8,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Dumond Joseph,MPH,843,4.7,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Moril Jeudy,Konba,818,4.6,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Bonard Toutebon,GFCD,623,3.5,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Vilard Jean Louis,Mochrenah,492,2.7,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Nadiny Celestin,Tet Ansanm,429,2.4,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Dieumerite Pierre Louis,Lavalas,389,2.2,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Jean Renaud Joseph,Modereh,354,2,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,"Jos, Dominique Antoine",PNDPH,330,1.8,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Joseph Philippe Lundi,Fusion,299,1.7,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Presner Sylvaince,FRN,240,1.3,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,Efaine Pierre,Madidh,166,0.9,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,2000 presidential election,
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,National summary,http://psephos.adam-carr.net/countries/h/haiti/haitipres.txt
Elections to the Chamber of Deputies,,SUD EST,2006,,,,,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,,,,,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,Jean-Bertrand ARISTIDE,FL,"2,632,534",91.8,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,Jacques Philippe Dorce,,"32,245",1.1,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,Calixte Dorisca,,"36,233",1.3,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,Arnold Dumas,,"56,678",2,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,Paul Arthur Fleurival,,"31,100",1.1,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,Evan Nicolas,URN,"45,411",1.5,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,Serge Sylvain,,"37,371",1.3,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,,,,,,,,
PRESIDENTIAL ELECTION,,SUD EST,2000,,,,,,,2000 legislative election,
PRESIDENTIAL ELECTION,,SUD EST,2000,,,,,,,Partial figures,http://psephos.adam-carr.net/countries/h/haiti/haiti2000leg.txt
CHAMBER OF DEPUTIES,,SUD EST,2000,,,,,,,,
CHAMBER OF DEPUTIES,,SUD EST,2000,,,,,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Marc Andre Diogène,Fanmi Lavalas,"15,983",53.6,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Carl Murat Cantave,Tèt Ansanm,"13,833",46.4,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Huberman Cherilus,Fanmi Lavalas,"2,824",54.5,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Eliphete Noëel,Espace,"2,355",45.5,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Mezac Louis Jean,Fanmi Lavalas,"3,750",58.7,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Cholzer Chancy,Espace,"2,643",41.3,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Marcson Erdain,Fanmi Lavalas,"8,945",55.9,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Miranel Pierre,MOP,"7,052",44.1,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Yvon Douceur,Mochrena,"6,941",65.4,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Guy Metayer,OPL,"3,669",34.6,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Daricot Odige,Fanmi Lavalas,"5,841",55.7,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Nonez Fils-Aimé,MOP,"4,639",44.3,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Noël Costume,Fanmi Lavalas,"17,901",68.8,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Michelet Brutus,Mochrena,"8,113",31.2,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Amarus Maette,Fanmi Lavalas,"21,496",76.2,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Joseph Luberisse,Mochrena,"6,713",23.8,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,André Gérome,Fanmi Lavalas,"8,720",67.5,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Ramel Altidor,Espas,"4,191",32.5,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Henrio Mondésir,Fanmi Lavalas,"3,491",59.4,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Hermand Exinord,Espas,"2,388",40.6,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Rudon B. Joseph,Fanmi Lavalas,"20,205",50.5,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Sylvestre Fleuzinord,,"19,823",49.5,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Schillo Fadael,Fanmi Lavalas,"13,519",,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Nixon A. Charleceus,MOCID,"6,020",,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Daricot Odige,Fanmi Lavalas,"5,841",,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,Nonez Fils-Aimé,MOP,"4,639",,,,,
CHAMBER OF DEPUTIES,,ARTIBONITE,2000,,,,,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,André Jeune Joseph,Fanmi Lavalas,"14,317",,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Théodort Max,Fanmi Lavalas,"4,899",,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Cessoir Simon,Fanmi Lavalas,"3,591",51.4,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Moloche Dulorier,OPL,"3,391",48.6,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Babeau Villier,Fanmi Lavalas,"9,606",,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Levy Joseph,Fanmi Lavalas,"4,990",52.7,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Jones Driss Gabriel,Espace,"4,483",47.3,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Clothair Toussaint,Fanmi Lavalas,"2,275",56.1,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Jackson Georges,CFD,"1,779",43.9,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Olide Brunot,Fanmi Lavalas,"28,284",,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,Miléon Desravines,Fanmi Lavalas,"13,738",,,,,
CHAMBER OF DEPUTIES,,CENTRE,2000,,,,,,,,
CHAMBER OF DEPUTIES,,NORD,2000,James Desrosier,Fanmi Lavalas,"13,700",65.4,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Rodolphe Pierre,,"7,256",34.6,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Keled Joseph,Fanmi Lavalas,"4,526",51.9,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Hugues Célestin,Eskamp,"4,203",48.1,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Jobs Jolicaire Michel,OPL,"4,733",53.2,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Gesner Lamour,Fanmi Lavalas,"4,156",46.8,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Danise Alexis,Fanmi Lavalas,"12,122",,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Jocelin St Louis,Fanmi Lavalas,"9,880",70.2,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Peguy Jacob,Tèt Ansanm,"4,196",29.8,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Géraud Charles,Fanmi Lavalas,"6,440",61.5,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Edmond Colas,Espas,"4,027",38.5,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Innocent Joseph,Fanmi Lavalas,"8,939",60.3,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Gabriel Ducatel,Eskamp,"5,893",39.7,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Théodore Saintilus,Fanmi Lavalas,"11,691",72.3,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Lemoine Bonneau,Mochrena,"4,480",27.7,,,,
CHAMBER OF DEPUTIES,,NORD,2000,Pierre Paul Cotin,Fanmi Lavalas,"13,981",,,,,
CHAMBER OF DEPUTIES,,NORD,2000,,,,,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Jean Amos Elie,Fanmi Lavalas,"5,801",62.9,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Jacques A. Karl,Espace,"3,426",37.1,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Ronald Joseph,Fanmi Lavalas,"10,302",55.7,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Saintilma Joseph,OPL,"8,201",44.3,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Rudy Herivaux,Fanmi Lavalas,"4,542",65.4,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Léo Louidor,Escamp,"2,408",34.6,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Sylvestre Lindor,Fanmi Lavalas,"2,361",58,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Arnold Ph. Jean Louis,RDNP,"1,712",42,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Gérald Pierre,END,"2,469",51.1,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Enos Pierre,Fanmi Lavalas,"2,363",48.9,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Philosias Accieus,Espace,"6,436",57.4,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,Jean Berthol Bastien,Fanmi Lavalas,"4,786",42.6,,,,
CHAMBER OF DEPUTIES,,NORD-EST,2000,,,,,,,,
CHAMBER OF DEPUTIES,,NORD-OUEST,2000,Dubréus Odly,PLB,"11,088",62.3,,,,
CHAMBER OF DEPUTIES,,NORD-OUEST,2000,François Amyot,Fanmi Lavalas,"6,717",37.7,,,,
